Word           | Frequency
---------------------
i              | 100  
the            | 79   
and            | 56   
to             | 46   
was            | 44   
a              | 40   
it             | 37   
that           | 32   
of             | 32   
you            | 31   
t              | 30   
in             | 23   
all            | 23   
my             | 22   
he             | 22   
me             | 21   
s              | 21   
they           | 17   
at             | 17   
she            | 17   
on             | 15   
around         | 13   
pencey         | 13   
if             | 12   
this           | 12   
got            | 12   
out            | 12   
didn           | 12   
d              | 11   
about          | 11   
with           | 11   
we             | 11   
spencer        | 11   
know           | 10   
like           | 10   
how            | 10   
were           | 10   
but            | 10   
or             | 9    
just           | 9    
for            | 9    
see            | 9    
what           | 8    
had            | 8    
have           | 8    
as             | 8    
way            | 8    
old            | 8    
her            | 8    
back           | 8    
don            | 7    
place          | 7    
down           | 7    
even           | 7    
anyway         | 7    
game           | 7    
up             | 7    
want           | 6    
probably       | 6    
anything       | 6    
pretty         | 6    
them           | 6    
quite          | 6    
m              | 6    
over           | 6    
when           | 6    
school         | 6    
right          | 6    
only           | 6    
wasn           | 6    
said           | 6    
by             | 5    
is             | 5    
before         | 5    
stuff          | 5    
two            | 5    
whole          | 5    
from           | 5    
one            | 5    
his            | 5    
because        | 5    
there          | 5    
been           | 5    
could          | 5    
sort           | 5    
get            | 5    
good           | 5    
really         | 4    
hear           | 4    
thing          | 4    
where          | 4    
kind           | 4    
told           | 4    
re             | 4    
especially     | 4    
not            | 4    
hell           | 4    
goddam         | 4    
too            | 4    
home           | 4    
next           | 4    
can            | 4    
do             | 4    
damn           | 4    
be             | 4    
never          | 4    
ve             | 4    
horse          | 4    
time           | 4    
more           | 4    
other          | 4    
guys           | 4    
came           | 4    
hall           | 4    
very           | 4    
hill           | 4    
team           | 4    
no             | 4    
felt           | 4    
getting        | 4    
so             | 4    
mr             | 4    
mrs            | 4    
parents        | 3    
feel           | 3    
going          | 3    
nice           | 3    
tell           | 3    
last           | 3    
christmas      | 3    
come           | 3    
b              | 3    
practically    | 3    
go             | 3    
him            | 3    
near           | 3    
goldfish       | 3    
left           | 3    
always         | 3    
guy            | 3    
did            | 3    
once           | 3    
any            | 3    
many           | 3    
football       | 3    
saxon          | 3    
supposed       | 3    
big            | 3    
something      | 3    
standing       | 3    
crazy          | 3    
side           | 3    
hardly         | 3    
girls          | 3    
least          | 3    
liked          | 3    
knew           | 3    
fencing        | 3    
academic       | 3    
coat           | 3    
crooks         | 3    
kept           | 3    
much           | 3    
house          | 3    
door           | 3    
holden         | 3    
dear           | 3    
first          | 2    
ll             | 2    
an             | 2    
into           | 2    
truth          | 2    
second         | 2    
touchy         | 2    
father         | 2    
saying         | 2    
also           | 2    
here           | 2    
take           | 2    
mean           | 2    
hollywood      | 2    
every          | 2    
week           | 2    
maybe          | 2    
those          | 2    
little         | 2    
four           | 2    
thousand       | 2    
lot            | 2    
dough          | 2    
now            | 2    
used           | 2    
wrote          | 2    
terrific       | 2    
secret         | 2    
heard          | 2    
wouldn         | 2    
let            | 2    
anybody        | 2    
look           | 2    
hate           | 2    
start          | 2    
prep           | 2    
agerstown      | 2    
some           | 2    
ever           | 2    
molding        | 2    
splendid       | 2    
clear          | 2    
thinking       | 2    
deal           | 2    
year           | 2    
remember       | 2    
afternoon      | 2    
top            | 2    
thomsen        | 2    
cannon         | 2    
games          | 2    
few            | 2    
their          | 2    
thurmer        | 2    
though         | 2    
looking        | 2    
give           | 2    
reason         | 2    
instead        | 2    
new            | 2    
york           | 2    
meet           | 2    
off            | 2    
teacher        | 2    
grippe         | 2    
again          | 2    
till           | 2    
vacation       | 2    
started        | 2    
kicked         | 2    
after          | 2    
applying       | 2    
myself         | 2    
ax             | 2    
frequently     | 2    
has            | 2    
cold           | 2    
gloves         | 2    
somebody       | 2    
hair           | 2    
room           | 2    
full           | 2    
these          | 2    
leaving        | 2    
tichener       | 2    
chucking       | 2    
building       | 2    
dinner         | 2    
ball           | 2    
darker         | 2    
doing          | 2    
finally        | 2    
soon           | 2    
running        | 2    
ran            | 2    
breath         | 2    
cut            | 2    
across         | 2    
road           | 2    
disappearing   | 2    
boy            | 2    
fast           | 2    
frozen         | 2    
c              | 2    
mon            | 2    
opened         | 2    
are            | 2    
think          | 2    
closet         | 2    
fine           | 2    
catcher        | 1    
rye            | 1    
j              | 1    
salinger       | 1    
born           | 1    
lousy          | 1    
childhood      | 1    
occupied       | 1    
david          | 1    
copperfield    | 1    
crap           | 1    
bores          | 1    
would          | 1    
hemorrhages    | 1    
apiece         | 1    
personal       | 1    
besides        | 1    
autobiography  | 1    
madman         | 1    
happened       | 1    
run            | 1    
easy           | 1    
brother        | 1    
isn            | 1    
far            | 1    
